,zero_fraction
min_value,1.0
percentile_25,1.0
median,0.5021367521367521
percentile_50,0.5021367521367521
median_abs_dev,0.5021367521367521
mean,0.0
harmonic_mean,0.0
geometric_mean,0.0
std_error_mean,0.0
concept_score_peripheral_ground_glass_opacities,0.0
concept_score_bilateral_involvement,0.0
shannon_entropy,0.0
concept_score_multilobar_distribution,0.0
concept_score_crazy_paving_pattern,0.0
concept_score_absence_of_lobar_consolidation,0.0
concept_score_localized_or_diffuse_presentation,0.0
concept_score_increased_density_in_the_lung,0.0
concept_score_ground_glass_appearance,0.0
med_task_prob_covid,0.0
root_mean_square,0.0
coef_of_var,0.0
autocorrelation,0.0
std_dev,0.0
signal_to_noise,0.0
percentile_75,0.0
iqr,0.0
max_value,0.0
mean_abs_dev,0.0
contrast,0.0
energy,0.0
entropy,0.0
kurtosis,0.0
skewness,0.0
range,0.0
variance,0.0
med_neural_prob_covid,0.0
