concept_score_absence_of_lobar_consolidation,med_task_prob_covid,med_neural_prob_covid,label
0.5503603,0.9999491,0.46096155,1
0.5474149,0.99973375,0.45979664,1
0.55485904,0.99996376,0.4565551,1
0.5495526,0.99968183,0.45802835,1
0.5460903,0.9999713,0.4609862,1
0.544837,0.99994266,0.46400124,1
0.56296194,0.9923504,0.46261108,1
0.5730763,0.9884404,0.46008807,1
0.5584719,0.9999902,0.45715037,1
0.5356087,0.99976224,0.4643913,1
0.5400422,0.9996251,0.462312,1
0.5466323,0.9998952,0.45870084,1
0.5514188,0.9999429,0.46149397,1
0.5316529,0.9989041,0.46834707,1
0.5658832,0.9999951,0.45497862,1
0.57673603,0.9999982,0.45178124,1
0.56616116,0.9999964,0.45432436,1
0.53468853,0.99964046,0.46581215,1
0.5461478,0.99992275,0.45949757,1
0.53529346,0.9968453,0.46675247,1
0.5378777,0.99345714,0.4608953,1
0.5343543,0.9990018,0.4698796,1
0.52761006,0.998814,0.4695875,1
0.5296775,0.9950831,0.46878943,1
0.5219604,0.99660206,0.45995966,1
0.52076626,0.99843174,0.46908712,1
0.51600266,0.9908194,0.467518,1
0.5415766,0.99999547,0.44952932,1
0.5269488,0.99624854,0.468839,1
0.5300498,0.99986696,0.46878245,1
0.53970045,0.9999198,0.46786845,1
0.5378337,0.99975806,0.4655126,1
0.5311525,0.99965906,0.46966407,1
0.5420705,0.9996859,0.45986545,1
0.5399262,0.99990666,0.46386346,1
0.5496034,0.99997044,0.45928594,1
0.5359528,0.9998746,0.46756855,1
0.5513473,0.99997413,0.45938858,1
0.5630272,0.9997433,0.4534067,1
0.54264253,0.9996088,0.46319634,1
0.56845814,0.9999949,0.45604002,1
0.5514079,0.99271375,0.45478296,1
0.53081894,0.99894696,0.46918106,1
0.5435407,0.99982053,0.4643489,1
0.5531423,0.999915,0.4590259,1
0.55541813,0.99988306,0.45561096,1
0.5241843,0.99131376,0.4665082,1
0.5335414,0.99843055,0.46645862,1
0.54033214,0.99987257,0.46506396,1
0.51412433,0.98287535,0.46172908,1
0.5620442,0.9999951,0.45741755,1
0.5635047,0.9999881,0.45561498,1
0.56064487,0.9999987,0.45100838,1
0.52441424,0.9978619,0.4632891,1
0.553433,0.99996233,0.45940542,1
0.55162334,0.99968743,0.46116966,1
0.55522233,0.9999807,0.45640653,1
0.55554026,0.99991655,0.459783,1
0.56286824,0.9892322,0.45662785,1
0.5279006,0.9999734,0.46352693,1
0.5148712,0.9883327,0.46279642,1
0.52830076,0.99843806,0.47094575,1
0.516658,0.9968335,0.4659702,1
0.53019285,0.9983942,0.4674388,1
0.54295444,0.99752337,0.46806216,1
0.5480392,0.9999782,0.46123558,1
0.565013,0.99998677,0.45717624,1
0.5557004,0.9999832,0.45068857,1
0.55004907,0.99989843,0.45886073,1
0.5577326,0.99992716,0.45814684,1
0.5409202,0.99957806,0.46109098,1
0.5424325,0.9998858,0.46362525,1
0.55285573,0.9999789,0.45908955,1
0.57586205,0.9999987,0.45037615,1
0.5560936,0.99997044,0.45825705,1
0.5404136,0.998694,0.46946692,1
0.55343276,0.9999622,0.45986354,1
0.53014857,0.99925727,0.4653977,1
0.51937616,0.99696666,0.46903488,1
0.5553339,0.99992955,0.45471832,1
0.55199957,0.99999845,0.451057,1
0.5470838,0.9999386,0.46110243,1
0.5240584,0.9994825,0.46632206,1
0.56275624,0.9999852,0.45813683,1
0.5483973,0.99951005,0.46312457,1
0.5521897,0.9999585,0.457362,1
0.54915273,0.999974,0.45851055,1
0.56762767,0.99999106,0.45258105,1
0.5340591,0.99951947,0.4659409,1
0.5518374,0.9999455,0.45724753,1
0.5280428,0.99862814,0.47128445,1
0.54505825,0.99990094,0.46161145,1
0.53559715,0.8497774,0.45588607,1
0.5244157,0.9943335,0.46544898,1
0.52734774,0.99757344,0.4649442,1
0.5279958,0.9967759,0.4689709,1
0.56699175,0.99999917,0.45260292,1
0.54662246,0.9999887,0.45533004,1
0.54375017,0.99991703,0.46485412,1
0.5364203,0.99955887,0.46813947,1
0.57597333,0.99999833,0.45236453,1
0.5439136,0.9999647,0.46337095,1
0.5277946,0.99840134,0.47216478,1
0.5438549,0.9998361,0.4633602,1
0.5470789,0.99967504,0.45646048,1
0.54987895,0.99992836,0.4589367,1
0.5429567,0.9993074,0.4570433,1
0.5222615,0.99851614,0.47003534,1
0.5360388,0.999553,0.46453056,1
0.5589428,0.99998724,0.457441,1
0.5349573,0.99926335,0.4650427,1
0.5442807,0.9998161,0.46135187,1
0.5410738,0.9997782,0.46602818,1
0.5204366,0.9988055,0.46952623,1
0.5553944,0.9999577,0.46076944,1
0.5149755,0.9899149,0.46384314,1
0.54025316,0.9993954,0.46172765,1
0.5596543,0.99996006,0.45904204,1
0.55129427,0.99949276,0.45427576,1
0.5350194,0.9727684,0.45185712,1
0.5227048,0.99883646,0.46906844,1
0.54595464,0.9997873,0.46074313,1
0.53122944,0.99947804,0.46877056,1
0.5940767,0.9955514,0.4587103,1
0.51583165,0.99676275,0.46642873,1
0.5515031,0.9997979,0.4594532,1
0.5484305,0.99949193,0.4553877,1
0.5399373,0.9996847,0.46433926,1
0.5625509,0.9999962,0.45826155,1
0.55348843,0.99994326,0.45876652,1
0.55321795,0.99993443,0.45740667,1
0.5554034,0.9999529,0.45897284,1
0.5532659,0.9999474,0.46114203,1
0.5447962,0.99991167,0.44287467,1
0.56434286,0.999764,0.4581445,1
0.56265306,0.9999672,0.4541021,1
0.56051,0.9999391,0.45662954,1
0.560716,0.99998534,0.454126,1
0.5434445,0.99938667,0.45956257,1
0.57361597,0.999998,0.44811133,1
0.5878522,0.9999939,0.44695744,1
0.5851491,0.80085266,0.45503744,1
0.5641029,0.90800196,0.45832947,1
0.55654687,0.9998956,0.4473198,1
0.5495572,0.9586741,0.44956902,1
0.5432544,0.974342,0.45836997,1
0.533759,0.99939406,0.466241,1
0.52745384,0.9995103,0.47169262,1
0.5572863,0.9999311,0.457496,1
0.5534721,0.99992573,0.45875266,1
0.5564746,0.9999949,0.4597367,1
0.5360006,0.63130575,0.45517012,1
0.5381787,0.9997683,0.465202,1
0.5182598,0.99852234,0.46790546,1
0.54866076,0.9999515,0.46201712,1
0.53342813,0.999818,0.46724197,1
0.52360207,0.9961414,0.46661943,1
0.52941686,0.99756324,0.46928886,1
0.5312893,0.9998803,0.4695073,1
0.5576791,0.99999094,0.4604826,1
0.5452347,0.9998909,0.4608698,1
0.5531061,0.9998753,0.45976081,1
0.53840715,0.9998661,0.46744958,1
0.53563434,0.99970144,0.46586627,1
0.51853555,0.9964038,0.46751884,1
0.5316825,0.9994199,0.4683175,1
0.54153836,0.9993332,0.46435332,1
0.5173393,0.9931443,0.46497864,1
0.5495442,0.99991345,0.4598583,1
0.5368212,0.9998491,0.46513456,1
0.5246663,0.8975424,0.45714834,1
0.5111221,0.98279107,0.46157283,1
0.52478987,0.993028,0.46839908,1
0.5582682,0.9748507,0.46103728,1
0.55551994,0.9997985,0.45289877,1
0.52395195,0.99653184,0.46728703,1
0.54402167,0.99989796,0.46439034,1
0.52457696,0.99087286,0.46950677,1
0.52345914,0.99679035,0.46884707,1
0.54154474,0.999752,0.4623563,1
0.5268073,0.9969658,0.4685931,1
0.53069335,0.9993838,0.46930665,1
0.52722,0.99686795,0.47020864,1
0.55614126,0.9889437,0.45833546,1
0.5299485,0.9992955,0.47005153,1
0.5269617,0.99799806,0.46905175,1
0.5311744,0.99951506,0.46882558,1
0.5188923,0.99304235,0.46659052,1
0.57792574,0.9999999,0.44722724,1
0.5385076,0.9008645,0.45428458,1
0.5391384,0.9993849,0.46455133,1
0.85950625,6.48876e-06,0.33444408,0
0.7143761,0.0021731323,0.38715255,0
0.9519204,2.2742856e-09,0.26065445,0
0.94170874,1.895301e-07,0.27493012,0
0.9614802,4.7363646e-10,0.23655352,0
0.7983249,2.054596e-05,0.3532945,0
0.8181754,0.00020538882,0.37580338,0
0.9120584,1.0748073e-06,0.3169767,0
0.81228447,4.603946e-05,0.36772048,0
0.87240964,9.736494e-07,0.31907538,0
0.90294254,3.260299e-07,0.30479172,0
0.7584538,0.0005815677,0.38523245,0
0.7694845,0.00014670967,0.3886888,0
0.7385314,0.0009184639,0.3986628,0
0.77288646,0.00014801168,0.37274432,0
0.75355345,0.00042913892,0.38215542,0
0.8724284,4.533325e-06,0.3360078,0
0.8559897,4.1825137e-06,0.33677757,0
0.8323197,3.701398e-05,0.35553688,0
0.6368285,0.07125086,0.41935885,0
0.8713333,4.3743744e-06,0.3278921,0
0.7351877,0.0050730864,0.40103033,0
0.8944693,1.5697068e-06,0.32138807,0
0.86851954,1.33329e-06,0.32730877,0
0.91963875,2.204003e-08,0.28822386,0
0.74735194,0.0013306937,0.3941247,0
0.8958522,8.2881246e-07,0.31539315,0
0.7239721,0.004983906,0.3998102,0
0.96574926,1.1604747e-10,0.2187863,0
0.9083602,5.0164965e-07,0.2955605,0
0.822722,1.5017872e-05,0.3473251,0
0.9138161,1.2805599e-07,0.29328552,0
0.91730946,7.93866e-08,0.2878397,0
0.9626639,4.7450904e-10,0.24526513,0
0.93385464,1.6507535e-08,0.272707,0
0.9266058,1.14341894e-07,0.2934577,0
0.82222974,6.029992e-06,0.36850947,0
0.8508861,1.8127062e-06,0.33567291,0
0.83982694,2.2601776e-06,0.33479583,0
0.8947485,5.9639376e-07,0.30460522,0
0.93182963,4.860502e-09,0.26604086,0
0.73788553,0.0035740698,0.38447237,0
0.8120691,0.00043299867,0.3761769,0
0.7635996,0.0074549075,0.36659908,0
0.91725934,6.977559e-08,0.2979036,0
