concept_score_bilateral_involvement,concept_score_crazy_paving_pattern,concept_score_absence_of_lobar_consolidation,concept_score_ground_glass_appearance,med_task_prob_covid,med_neural_prob_covid,label
0.6616187,0.46377796,0.5503603,0.7449951,0.9999491,0.46096155,1
0.6581097,0.4661141,0.5474149,0.72536993,0.99973375,0.45979664,1
0.6632518,0.46671897,0.55485904,0.74574596,0.99996376,0.4565551,1
0.6563231,0.46706787,0.5495526,0.72939765,0.99968183,0.45802835,1
0.65456134,0.46640068,0.5460903,0.73397803,0.9999713,0.4609862,1
0.6539971,0.46306306,0.544837,0.74116135,0.99994266,0.46400124,1
0.54569143,0.3728298,0.56296194,0.6468391,0.9923504,0.46261108,1
0.5567258,0.39027572,0.5730763,0.62360543,0.9884404,0.46008807,1
0.67808855,0.46360224,0.5584719,0.75805527,0.9999902,0.45715037,1
0.6384353,0.46913907,0.5356087,0.69188565,0.99976224,0.4643913,1
0.6448748,0.4677599,0.5400422,0.7177039,0.9996251,0.462312,1
0.6449603,0.46762574,0.5466323,0.7246214,0.9998952,0.45870084,1
0.6663207,0.46149397,0.5514188,0.7546644,0.9999429,0.46149397,1
0.6161863,0.4619688,0.5316529,0.6973689,0.9989041,0.46834707,1
0.69376016,0.46251613,0.5658832,0.77588105,0.9999951,0.45497862,1
0.70629644,0.45702833,0.57673603,0.80236924,0.9999982,0.45178124,1
0.6916254,0.4619458,0.56616116,0.7782897,0.9999964,0.45432436,1
0.6312161,0.4653206,0.53468853,0.71337706,0.99964046,0.46581215,1
0.6532716,0.46814883,0.5461478,0.72325593,0.99992275,0.45949757,1
0.6248575,0.45134598,0.53529346,0.69414705,0.9968453,0.46675247,1
0.5716505,0.39756444,0.5378777,0.66377544,0.99345714,0.4608953,1
0.61993355,0.44619855,0.5343543,0.68486965,0.9990018,0.4698796,1
0.61071175,0.46783495,0.52761006,0.6941767,0.998814,0.4695875,1
0.6199555,0.4768209,0.5296775,0.6568775,0.9950831,0.46878943,1
0.61319184,0.43271065,0.5219604,0.70771474,0.99660206,0.45995966,1
0.6027002,0.47323376,0.52076626,0.6718804,0.99843174,0.46908712,1
0.5847021,0.47669697,0.51600266,0.6637396,0.9908194,0.467518,1
0.65207314,0.44952932,0.5415766,0.800655,0.99999547,0.44952932,1
0.60543674,0.46914724,0.5269488,0.6807063,0.99624854,0.468839,1
0.6162435,0.46405068,0.5300498,0.72710204,0.99986696,0.46878245,1
0.63966715,0.4620681,0.53970045,0.742067,0.9999198,0.46786845,1
0.63746315,0.4660064,0.5378337,0.7207004,0.99975806,0.4655126,1
0.61907196,0.46222234,0.5311525,0.71422964,0.99965906,0.46966407,1
0.6497972,0.46961915,0.5420705,0.7053511,0.9996859,0.45986545,1
0.647218,0.46689764,0.5399262,0.7233241,0.99990666,0.46386346,1
0.667745,0.4664683,0.5496034,0.7431591,0.99997044,0.45928594,1
0.6348376,0.46413484,0.5359528,0.726729,0.9998746,0.46756855,1
0.6602579,0.46550187,0.5513473,0.74386877,0.99997413,0.45938858,1
0.68741244,0.45493862,0.5630272,0.7463972,0.9997433,0.4534067,1
0.6455925,0.46504024,0.54264253,0.7269193,0.9996088,0.46319634,1
0.69096476,0.45807022,0.56845814,0.7889014,0.9999949,0.45604002,1
0.6058476,0.41581342,0.5514079,0.69067997,0.99271375,0.45478296,1
0.6235363,0.46648648,0.53081894,0.7050437,0.99894696,0.46918106,1
0.6483901,0.4631614,0.5435407,0.7367068,0.99982053,0.4643489,1
0.6658745,0.4638077,0.5531423,0.74685466,0.999915,0.4590259,1
0.6749332,0.46484873,0.55541813,0.7327494,0.99988306,0.45561096,1
0.5988582,0.45334074,0.5241843,0.66303664,0.99131376,0.4665082,1
0.61832064,0.46810332,0.5335414,0.69325036,0.99843055,0.46645862,1
0.6420958,0.46466312,0.54033214,0.72801524,0.99987257,0.46506396,1
0.5756663,0.46016872,0.51412433,0.62981546,0.98287535,0.46172908,1
0.6857424,0.45741755,0.5620442,0.7864764,0.9999951,0.45741755,1
0.68377733,0.45561498,0.5635047,0.7947489,0.9999881,0.45561498,1
0.6827182,0.45100838,0.56064487,0.8123978,0.9999987,0.45100838,1
0.6157408,0.44888362,0.52441424,0.70654273,0.9978619,0.4632891,1
0.6680488,0.45940542,0.553433,0.7674103,0.99996233,0.45940542,1
0.6633362,0.4591427,0.55162334,0.74670595,0.99968743,0.46116966,1
0.6638016,0.45640653,0.55522233,0.7802145,0.9999807,0.45640653,1
0.6658757,0.459783,0.55554026,0.76201326,0.99991655,0.459783,1
0.54616064,0.38561866,0.56286824,0.680751,0.9892322,0.45662785,1
0.6179455,0.46352693,0.5279006,0.7504936,0.9999734,0.46352693,1
0.576525,0.46779937,0.5148712,0.6304761,0.9883327,0.46279642,1
0.618291,0.46639794,0.52830076,0.7003369,0.99843806,0.47094575,1
0.5923102,0.47737804,0.516658,0.6490025,0.9968335,0.4659702,1
0.61115533,0.45894098,0.53019285,0.66796875,0.9983942,0.4674388,1
0.62644315,0.4527997,0.54295444,0.70098937,0.99752337,0.46806216,1
0.6583039,0.46113467,0.5480392,0.7554574,0.9999782,0.46123558,1
0.6895074,0.45833698,0.565013,0.7786506,0.99998677,0.45717624,1
0.6715789,0.45068857,0.5557004,0.80066186,0.9999832,0.45068857,1
0.6590438,0.45066005,0.55004907,0.7299633,0.99989843,0.45886073,1
0.67524624,0.45769638,0.5577326,0.7538143,0.99992716,0.45814684,1
0.6503766,0.46920383,0.5409202,0.7105615,0.99957806,0.46109098,1
0.64697105,0.46166205,0.5424325,0.736806,0.9998858,0.46362525,1
0.67161435,0.46480092,0.55285573,0.7454052,0.9999789,0.45908955,1
0.7092697,0.45037615,0.57586205,0.8240081,0.9999987,0.45037615,1
0.67383325,0.4634986,0.5560936,0.7531077,0.99997044,0.45825705,1
0.61885715,0.46098158,0.5404136,0.6890684,0.998694,0.46946692,1
0.6683091,0.4630055,0.55343276,0.7491624,0.9999622,0.45986354,1
0.6249005,0.45259023,0.53014857,0.71602607,0.99925727,0.4653977,1
0.60174626,0.46099895,0.51937616,0.67631423,0.99696666,0.46903488,1
0.67769694,0.46647632,0.5553339,0.7282449,0.99992955,0.45471832,1
0.67053014,0.451057,0.55199957,0.805396,0.99999845,0.451057,1
0.65874153,0.4656461,0.5470838,0.7326327,0.9999386,0.46110243,1
0.60834575,0.46161947,0.5240584,0.7228531,0.9994825,0.46632206,1
0.68586355,0.4594885,0.56275624,0.7753894,0.9999852,0.45813683,1
0.63619524,0.43724945,0.5483973,0.72610927,0.99951005,0.46312457,1
0.67439,0.46765593,0.5521897,0.73450226,0.9999585,0.457362,1
0.66340864,0.45851055,0.54915273,0.77269304,0.999974,0.45851055,1
0.7053216,0.4631135,0.56762767,0.7694488,0.99999106,0.45258105,1
0.6421,0.4743137,0.5340591,0.675815,0.99951947,0.4659409,1
0.67592674,0.4534909,0.5518374,0.73412764,0.9999455,0.45724753,1
0.6187187,0.4697991,0.5280428,0.6876824,0.99862814,0.47128445,1
0.6466217,0.46638513,0.54505825,0.7316655,0.99990094,0.46161145,1
0.50561094,0.39125484,0.53559715,0.5852406,0.8497774,0.45588607,1
0.617954,0.45144343,0.5244157,0.69062495,0.9943335,0.46544898,1
0.6091188,0.44075593,0.52734774,0.67630804,0.99757344,0.4649442,1
0.6200771,0.4749662,0.5279958,0.6614843,0.9967759,0.4689709,1
0.6846052,0.45260292,0.56699175,0.81557786,0.99999917,0.45260292,1
0.6520289,0.45533004,0.54662246,0.7748882,0.9999887,0.45533004,1
0.6513339,0.4624551,0.54375017,0.7431998,0.99991703,0.46485412,1
0.62860423,0.45957127,0.5364203,0.729987,0.99955887,0.46813947,1
0.70159465,0.45236453,0.57597333,0.8209842,0.99999833,0.45236453,1
0.63878256,0.46348107,0.5439136,0.7503513,0.9999647,0.46337095,1
0.6332739,0.45792574,0.5277946,0.68675077,0.99840134,0.47216478,1
0.6483459,0.4641407,0.5438549,0.73245955,0.9998361,0.4633602,1
0.6565686,0.4706154,0.5470789,0.7110911,0.99967504,0.45646048,1
0.66201675,0.4664561,0.54987895,0.7343658,0.99992836,0.4589367,1
0.65099233,0.47240368,0.5429567,0.69545066,0.9993074,0.4570433,1
0.60764855,0.471924,0.5222615,0.6775675,0.99851614,0.47003534,1
0.63381773,0.4674367,0.5360388,0.70997626,0.999553,0.46453056,1
0.67912525,0.46123123,0.5589428,0.75775856,0.99998724,0.457441,1
0.6334645,0.46781343,0.5349573,0.7044907,0.99926335,0.4650427,1
0.6510648,0.4658262,0.5442807,0.7226469,0.9998161,0.46135187,1
0.6429606,0.4629725,0.5410738,0.73613906,0.9997782,0.46602818,1
0.60231453,0.4695605,0.5204366,0.68668264,0.9988055,0.46952623,1
0.67182666,0.46076944,0.5553944,0.7663952,0.9999577,0.46076944,1
0.588343,0.4383107,0.5149755,0.67057216,0.9899149,0.46384314,1
0.6366147,0.46966398,0.54025316,0.71307474,0.9993954,0.46172765,1
0.681676,0.45975092,0.5596543,0.7743462,0.99996006,0.45904204,1
0.6716703,0.46258086,0.55129427,0.7181587,0.99949276,0.45427576,1
0.5682683,0.42811522,0.5350194,0.64724576,0.9727684,0.45185712,1
0.60808176,0.4707074,0.5227048,0.6748859,0.99883646,0.46906844,1
0.65275776,0.46602726,0.54595464,0.7263777,0.9997873,0.46074313,1
0.6247662,0.4698241,0.53122944,0.6925456,0.99947804,0.46877056,1
0.57904655,0.3807574,0.5940767,0.67528665,0.9955514,0.4587103,1
0.5941269,0.4767028,0.51583165,0.6563129,0.99676275,0.46642873,1
0.6635712,0.4636944,0.5515031,0.7398525,0.9997979,0.4594532,1
0.6658028,0.46936235,0.5484305,0.70388836,0.99949193,0.4553877,1
0.64148784,0.4510066,0.5399373,0.71841526,0.9996847,0.46433926,1
0.68669367,0.45888114,0.5625509,0.78202,0.9999962,0.45826155,1
0.6689045,0.4647843,0.55348843,0.74715525,0.99994326,0.45876652,1
