rule,type,coef,support,importance
concept_score_ground_glass_appearance > 0.512484610080719 & concept_score_ground_glass_appearance > 0.6013173162937164,rule,0.7569498339919009,0.35374149659863946,0.3619205454610865
concept_score_ground_glass_appearance <= 0.512484610080719 & concept_score_crazy_paving_pattern <= 0.2776744067668915,rule,-0.5849632340604404,0.37755102040816324,0.2835752180097114
concept_score_ground_glass_appearance > 0.5107902884483337 & concept_score_ground_glass_appearance > 0.5814769268035889,rule,0.47923779846978576,0.37755102040816324,0.2323222302985319
concept_score_ground_glass_appearance > 0.5575334429740906,rule,0.4484007477747367,0.46938775510204084,0.22377977875616145
concept_score_absence_of_lobar_consolidation > 0.8205206096172333 & concept_score_absence_of_lobar_consolidation > 0.6652792096138,rule,-0.4833184502888787,0.2925170068027211,0.2198704863088952
concept_score_absence_of_lobar_consolidation > 0.7331579029560089,rule,-0.32913301089972213,0.3979591836734694,0.16110301802347332
concept_score_absence_of_lobar_consolidation > 0.6606996655464172,rule,-0.2749432710486525,0.47959183673469385,0.13735707580815884
concept_score_ground_glass_appearance <= 0.514292985200882,rule,-0.2743219274734379,0.4965986394557823,0.13715779000006703
concept_score_absence_of_lobar_consolidation <= 0.6606996655464172,rule,0.25673819938024667,0.5204081632653061,0.12826212542180188
concept_score_absence_of_lobar_consolidation <= 0.6652792096138 & concept_score_ground_glass_appearance > 0.5575923919677734 & concept_score_absence_of_lobar_consolidation > 0.5125385522842407,rule,0.20471495364843134,0.4387755102040816,0.10158721730710787
concept_score_ground_glass_appearance <= 0.5341236293315887,rule,-0.18219566271994628,0.54421768707483,0.09074090246012788
concept_score_ground_glass_appearance <= 0.5107902884483337 & concept_score_crazy_paving_pattern <= 0.32589563727378845,rule,-0.12437438483887803,0.45918367346938777,0.06197964176150078
concept_score_ground_glass_appearance > 0.5341236293315887,rule,0.09387215965898377,0.4557823129251701,0.04675218035475696
concept_score_absence_of_lobar_consolidation <= 0.7331579029560089,rule,0.08811970059622762,0.6020408163265306,0.043132561132564036
concept_score_ground_glass_appearance > 0.514292985200882,rule,0.07943286492782471,0.5034013605442177,0.03971551347432552
concept_score_ground_glass_appearance <= 0.5111531913280487,rule,-0.013724067378583105,0.4897959183673469,0.0068606045455315385
