rule,type,coef,support,importance
concept_score_ground_glass_appearance > 0.512484610080719 & concept_score_ground_glass_appearance > 0.6013173162937164,rule,0.7569498339919009,0.3537414965986394,0.3619205454610865
concept_score_ground_glass_appearance <= 0.512484610080719 & concept_score_crazy_paving_pattern <= 0.2776744067668915,rule,-0.5849632340604404,0.3775510204081632,0.2835752180097114
concept_score_ground_glass_appearance > 0.5107902884483337 & concept_score_ground_glass_appearance > 0.5814769268035889,rule,0.4792377984697857,0.3775510204081632,0.2323222302985319
concept_score_ground_glass_appearance > 0.5575334429740906,rule,0.4484007477747367,0.4693877551020408,0.2237797787561614
concept_score_absence_of_lobar_consolidation > 0.8205206096172333 & concept_score_absence_of_lobar_consolidation > 0.6652792096138,rule,-0.4833184502888787,0.2925170068027211,0.2198704863088952
concept_score_absence_of_lobar_consolidation > 0.7331579029560089,rule,-0.3291330108997221,0.3979591836734694,0.1611030180234733
concept_score_absence_of_lobar_consolidation > 0.6606996655464172,rule,-0.2749432710486525,0.4795918367346938,0.1373570758081588
concept_score_ground_glass_appearance <= 0.514292985200882,rule,-0.2743219274734379,0.4965986394557823,0.137157790000067
concept_score_absence_of_lobar_consolidation <= 0.6606996655464172,rule,0.2567381993802466,0.5204081632653061,0.1282621254218018
concept_score_absence_of_lobar_consolidation <= 0.6652792096138 & concept_score_ground_glass_appearance > 0.5575923919677734 & concept_score_absence_of_lobar_consolidation > 0.5125385522842407,rule,0.2047149536484313,0.4387755102040816,0.1015872173071078
concept_score_ground_glass_appearance <= 0.5341236293315887,rule,-0.1821956627199462,0.54421768707483,0.0907409024601278
concept_score_ground_glass_appearance <= 0.5107902884483337 & concept_score_crazy_paving_pattern <= 0.32589563727378845,rule,-0.124374384838878,0.4591836734693877,0.0619796417615007
concept_score_ground_glass_appearance > 0.5341236293315887,rule,0.0938721596589837,0.4557823129251701,0.0467521803547569
concept_score_absence_of_lobar_consolidation <= 0.7331579029560089,rule,0.0881197005962276,0.6020408163265306,0.043132561132564
concept_score_ground_glass_appearance > 0.514292985200882,rule,0.0794328649278247,0.5034013605442177,0.0397155134743255
concept_score_ground_glass_appearance <= 0.5111531913280487,rule,-0.0137240673785831,0.4897959183673469,0.0068606045455315
