image_id,file_name,class_name,true_label,split,image_path,resolved_image_path,source,source_filepath,concept_key,concept_peripheral_ground_glass_opacities_label,concept_bilateral_involvement_label,concept_multilobar_distribution_label,concept_crazy_paving_pattern_label,concept_absence_of_lobar_consolidation_label,concept_localized_or_diffuse_presentation_label,concept_increased_density_in_the_lung_label,concept_ground_glass_appearance_label,task_prediction,task_probability_noncovid,task_probability_covid,neural_prediction,neural_probability_noncovid,neural_probability_covid,concept_score_peripheral_ground_glass_opacities,concept_score_bilateral_involvement,concept_score_multilobar_distribution,concept_score_crazy_paving_pattern,concept_score_absence_of_lobar_consolidation,concept_score_localized_or_diffuse_presentation,concept_score_increased_density_in_the_lung,concept_score_ground_glass_appearance,concept_pred_peripheral_ground_glass_opacities_label,concept_pred_bilateral_involvement_label,concept_pred_multilobar_distribution_label,concept_pred_crazy_paving_pattern_label,concept_pred_absence_of_lobar_consolidation_label,concept_pred_localized_or_diffuse_presentation_label,concept_pred_increased_density_in_the_lung_label,concept_pred_ground_glass_appearance_label
covid_2020_01_24_919183_p27_132,2020.01.24.919183-p27-132.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-132.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-132.png,original,,2020.01.24.919183-p27-132.png,1,1,1,0,1,1,1,1,1,5.0950046e-05,0.9999491,1,0.36793286,0.46096155,0.73552454,0.6616187,0.82091856,0.46377796,0.5503603,0.7245854,0.7140053,0.7449951,1,1,1,0,1,1,1,1
covid_2020_01_24_919183_p27_133,2020.01.24.919183-p27-133.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-133.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-133.png,original,,2020.01.24.919183-p27-133.png,1,1,1,0,1,1,1,1,1,0.00026629222,0.99973375,1,0.37704116,0.45979664,0.7214616,0.6581097,0.80227554,0.4661141,0.5474149,0.70855975,0.6934839,0.72536993,1,1,1,0,1,1,1,1
covid_2020_01_24_919183_p27_134,2020.01.24.919183-p27-134.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-134.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-134.png,original,,2020.01.24.919183-p27-134.png,1,1,1,0,1,1,1,1,1,3.623625e-05,0.99996376,1,0.36329147,0.4565551,0.74068564,0.6632518,0.82493323,0.46671897,0.55485904,0.73617953,0.72523844,0.74574596,1,1,1,0,1,1,1,1
covid_2020_01_24_919183_p27_135,2020.01.24.919183-p27-135.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-135.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.01.24.919183-p27-135.png,original,,2020.01.24.919183-p27-135.png,1,1,1,0,1,1,1,1,1,0.00031818877,0.99968183,1,0.37316418,0.45802835,0.7256439,0.6563231,0.8073859,0.46706787,0.5495526,0.7184491,0.70482516,0.72939765,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_0,2020.02.10.20021584-p6-52%0.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%0.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%0.png,original,,2020.02.10.20021584-p6-52%0.png,1,1,1,0,1,1,1,1,1,2.8679095e-05,0.9999713,1,0.37293905,0.4609862,0.71900326,0.65456134,0.8118608,0.46640068,0.5460903,0.716652,0.71802384,0.73397803,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_1,2020.02.10.20021584-p6-52%1.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%1.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%1.png,original,,2020.02.10.20021584-p6-52%1.png,1,1,1,0,1,1,1,1,1,5.730633e-05,0.99994266,1,0.37220088,0.46400124,0.72466743,0.6539971,0.8155981,0.46306306,0.544837,0.71631753,0.7147962,0.74116135,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_10,2020.02.10.20021584-p6-52%10.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%10.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%10.png,original,,2020.02.10.20021584-p6-52%10.png,0,1,1,0,1,1,1,1,1,0.007649638,0.9923504,1,0.423288,0.46261108,0.6691449,0.54569143,0.761154,0.3728298,0.56296194,0.67540514,0.6755136,0.6468391,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_11,2020.02.10.20021584-p6-52%11.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%11.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%11.png,original,,2020.02.10.20021584-p6-52%11.png,1,1,1,0,1,1,1,1,1,0.011559642,0.9884404,1,0.42148912,0.46008807,0.6545927,0.5567258,0.7598568,0.39027572,0.5730763,0.6605169,0.67288244,0.62360543,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_12,2020.02.10.20021584-p6-52%12.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%12.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%12.png,original,,2020.02.10.20021584-p6-52%12.png,0,1,1,0,1,1,1,1,1,9.722635e-06,0.9999902,1,0.35758543,0.45715037,0.7458068,0.67808855,0.83889836,0.46360224,0.5584719,0.7409643,0.7365993,0.75805527,1,1,1,0,1,1,1,1
covid_2020_02_10_20021584_p6_52_13,2020.02.10.20021584-p6-52%13.png,COVID,1,train,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%13.png,/Users/samehissa/Downloads/COVID-CT-Dataset-master/Images-processed/CT_COVID/2020.02.10.20021584-p6-52%13.png,original,,2020.02.10.20021584-p6-52%13.png,0,1,1,0,1,1,1,1,1,0.00023776242,0.99976224,1,0.39586848,0.4643913,0.6832842,0.6384353,0.7701236,0.46913907,0.5356087,0.6763526,0.67452806,0.69188565,1,1,1,0,1,1,1,1
