model_family,model,feature_set,n_features,accuracy,balanced_accuracy,f1_weighted,roc_auc,confusion_matrix
SVIS-RULEX,svis_rulex_decision_tree_selected_6,selected_6,6.0,0.5615763546798029,0.5544217687074829,0.5414568442890826,0.5475218658892128,"[[80, 25], [64, 34]]"
SVIS-RULEX,svis_rulex_decision_tree_selected_15,selected_15,15.0,0.5517241379310345,0.5452380952380952,0.5350182051831227,0.5465014577259475,"[[77, 28], [63, 35]]"
SVIS-RULEX,svis_rulex_decision_tree_selected_12,selected_12,12.0,0.541871921182266,0.5357142857142857,0.5266044551003298,0.5354227405247813,"[[75, 30], [63, 35]]"
SVIS-RULEX,svis_rulex_decision_tree_selected_9,selected_9,9.0,0.541871921182266,0.5357142857142857,0.5266044551003298,0.5354227405247813,"[[75, 30], [63, 35]]"
SVIS-RULEX,svis_rulex_decision_tree_all,all,26.0,0.5221674876847291,0.5241496598639456,0.5207738821074334,0.5589893100097182,"[[49, 56], [41, 57]]"
SVIS-RULEX,svis_rulex_decision_tree_filtered,filtered,21.0,0.5221674876847291,0.5241496598639456,0.5207738821074334,0.5589893100097182,"[[49, 56], [41, 57]]"
SVIS-RULEX,svis_rulex_decision_tree_selected_3,selected_3,3.0,0.5073891625615764,0.508843537414966,0.5066714894301101,0.508843537414966,"[[49, 56], [44, 54]]"
SVIS-RULEX,svis_rulex_decision_tree_selected_18,selected_18,18.0,0.5024630541871922,0.503061224489796,0.5024630541871922,0.533041788143829,"[[51, 54], [47, 51]]"
SVIS-RULEX,svis_rulex_rulefit_selected_3,selected_3,3.0,0.5073891625615764,0.508843537414966,0.5066714894301101,,"[[49, 56], [44, 54]]"
Med-MICN,med_micn_task_classifier,concept_branch,,0.7044334975369458,0.704421768707483,0.7042540792540792,0.7597667638483965,
Med-MICN,med_micn_neural_symbolic,neural_symbolic,,0.7142857142857143,0.7112244897959183,0.7105703048180925,0.7458697764820214,
Med-MICN,med_micn_concept_encoder,concept_encoder,,0.7216748768472906,,0.659051724137931,,
SS-VIRULEX,ss_virulex_decision_tree_selected_15,selected_15,15.0,0.6699507389162561,0.6741496598639456,0.665583403255367,0.7349368318756074,"[[58, 47], [20, 78]]"
SS-VIRULEX,ss_virulex_decision_tree_selected_18,selected_18,18.0,0.6650246305418719,0.6690476190476191,0.6609735672704188,0.7317298347910594,"[[58, 47], [21, 77]]"
SS-VIRULEX,ss_virulex_decision_tree_selected_12,selected_12,12.0,0.6650246305418719,0.6673469387755102,0.6638517932241814,0.7359572400388728,"[[63, 42], [26, 72]]"
SS-VIRULEX,ss_virulex_decision_tree_selected_9,selected_9,9.0,0.6650246305418719,0.6673469387755102,0.6638517932241814,0.7466472303206997,"[[63, 42], [26, 72]]"
SS-VIRULEX,ss_virulex_decision_tree_selected_6,selected_6,6.0,0.6551724137931034,0.6598639455782314,0.6493235683043433,0.7510204081632653,"[[55, 50], [20, 78]]"
SS-VIRULEX,ss_virulex_decision_tree_selected_3,selected_3,3.0,0.6551724137931034,0.6598639455782314,0.6493235683043433,0.7543245869776481,"[[55, 50], [20, 78]]"
SS-VIRULEX,ss_virulex_decision_tree_all,all,36.0,0.645320197044335,0.6496598639455782,0.6402046229632437,0.7287172011661809,"[[55, 50], [22, 76]]"
SS-VIRULEX,ss_virulex_decision_tree_filtered,filtered,31.0,0.645320197044335,0.6496598639455782,0.6402046229632437,0.7287172011661809,"[[55, 50], [22, 76]]"
SS-VIRULEX,ss_virulex_rulefit_selected_3,selected_3,3.0,0.6798029556650246,0.6829931972789116,0.6775076363507955,,"[[62, 43], [22, 76]]"
SS-VIRULEX,ss_virulex_rulefit_selected_6,selected_6,6.0,0.6748768472906403,0.6782312925170069,0.6722589807965429,,"[[61, 44], [22, 76]]"
SS-VIRULEX,ss_virulex_svm_rbf_all,all,36.0,0.6945812807881774,0.6979591836734693,0.6921220728694798,0.7484936831875608,"[[63, 42], [20, 78]]"
SS-VIRULEX,ss_virulex_extra_trees_selected_18,selected_18,18.0,0.6945812807881774,0.6976190476190476,0.6926463668750419,0.7558794946550048,"[[64, 41], [21, 77]]"
SS-VIRULEX,ss_virulex_svm_rbf_selected_9,selected_9,9.0,0.6945812807881774,0.6972789115646258,0.69310949081534,0.7262390670553935,"[[65, 40], [22, 76]]"
SS-VIRULEX,ss_virulex_svm_rbf_selected_6,selected_6,6.0,0.6896551724137931,0.6921768707482994,0.6883717887097464,0.6878522837706511,"[[65, 40], [23, 75]]"
SS-VIRULEX,ss_virulex_hist_gradient_boosting_selected_6,selected_6,6.0,0.6847290640394089,0.6887755102040816,0.6809162986074531,0.7656948493683187,"[[60, 45], [19, 79]]"
SS-VIRULEX,ss_virulex_gradient_boosting_selected_6,selected_6,6.0,0.6847290640394089,0.6884353741496598,0.681585600161796,0.7573372206025268,"[[61, 44], [20, 78]]"
SS-VIRULEX,ss_virulex_gradient_boosting_selected_18,selected_18,18.0,0.6847290640394089,0.6877551020408164,0.6827317335484304,0.773955296404276,"[[63, 42], [22, 76]]"
SS-VIRULEX,ss_virulex_svm_rbf_med_diagnosis_all,med_diagnosis_all,2.0,0.6798029556650246,0.6833333333333333,0.6769256936252408,0.7203109815354714,"[[61, 44], [21, 77]]"
SS-VIRULEX,ss_virulex_extra_trees_all,all,36.0,0.6798029556650246,0.6829931972789116,0.6775076363507955,0.7463556851311954,"[[62, 43], [22, 76]]"
SS-VIRULEX,ss_virulex_svm_rbf_selected_18,selected_18,18.0,0.6798029556650246,0.6819727891156463,0.6788690962575584,0.739941690962099,"[[65, 40], [25, 73]]"
SS-VIRULEX,ss_virulex_random_forest_filtered,filtered,31.0,0.6748768472906403,0.6789115646258503,0.670944932938936,0.7443148688046648,"[[59, 46], [20, 78]]"
SS-VIRULEX,ss_virulex_random_forest_selected_6,selected_6,6.0,0.6748768472906403,0.6789115646258503,0.670944932938936,0.7531584062196308,"[[59, 46], [20, 78]]"
SS-VIRULEX,ss_virulex_gradient_boosting_filtered,filtered,31.0,0.6748768472906403,0.6782312925170069,0.6722589807965429,0.764625850340136,"[[61, 44], [22, 76]]"
SS-VIRULEX,ss_virulex_gradient_boosting_selected_9,selected_9,9.0,0.6748768472906403,0.677891156462585,0.672817100221819,0.7557337220602527,"[[62, 43], [23, 75]]"
SS-VIRULEX,ss_virulex_logistic_regression_selected_6,selected_6,6.0,0.6748768472906403,0.6775510204081632,0.6733101031260071,0.7534499514091351,"[[63, 42], [24, 74]]"
SS-VIRULEX,ss_virulex_gradient_boosting_med_diagnosis_all,med_diagnosis_all,2.0,0.6699507389162561,0.6748299319727891,0.6639074575871319,0.7532069970845481,"[[56, 49], [18, 80]]"
SS-VIRULEX,ss_virulex_svm_rbf_filtered,filtered,31.0,0.6699507389162561,0.6738095238095239,0.6663180577987879,0.747910592808552,"[[59, 46], [21, 77]]"
