model,feature,importance,source
ss_virulex_decision_tree,med_task_prob_covid,0.9775376755275834,decision_tree
svis_rulex_decision_tree,stat_mean_abs_dev,0.47515520789671706,decision_tree
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance > 0.512484610080719 & concept_score_bilateral_involvement > 0.5316263735294342,0.4427800500651546,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_absence_of_lobar_consolidation > 0.6652792096138 & concept_score_absence_of_lobar_consolidation > 0.8205206096172333,0.3641539760479689,rulefit_rule
ss_virulex_rulefit_selected_3,concept_score_ground_glass_appearance > 0.512484610080719 & concept_score_ground_glass_appearance > 0.6013173162937164,0.3619205454610865,rulefit_rule
svis_rulex_decision_tree,stat_signal_to_noise,0.3617900444587155,decision_tree
ss_virulex_rulefit_selected_3,concept_score_ground_glass_appearance <= 0.512484610080719 & concept_score_crazy_paving_pattern <= 0.2776744067668915,0.2835752180097114,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance <= 0.5574992299079895 & concept_score_crazy_paving_pattern <= 0.21913828700780869,0.2597716291215897,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance <= 0.5107902884483337 & concept_score_crazy_paving_pattern <= 0.32589563727378845,0.2495512082801755,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_localized_or_diffuse_presentation > 0.6199959218502045 & concept_score_absence_of_lobar_consolidation <= 0.6652792096138,0.2466136564565319,rulefit_rule
ss_virulex_rulefit_selected_3,concept_score_ground_glass_appearance > 0.5107902884483337 & concept_score_ground_glass_appearance > 0.5814769268035889,0.2323222302985319,rulefit_rule
ss_virulex_rulefit_selected_3,concept_score_ground_glass_appearance > 0.5575334429740906,0.2237797787561614,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_bilateral_involvement > 0.5316263735294342 & concept_score_ground_glass_appearance > 0.5107902884483337,0.2231397230689631,rulefit_rule
ss_virulex_rulefit_selected_3,concept_score_absence_of_lobar_consolidation > 0.8205206096172333 & concept_score_absence_of_lobar_consolidation > 0.6652792096138,0.2198704863088952,rulefit_rule
