rule,type,coef,support,importance
concept_score_ground_glass_appearance > 0.512484610080719 & concept_score_bilateral_involvement > 0.5316263735294342,rule,0.9221541353955365,0.36054421768707484,0.44278005006515464
concept_score_absence_of_lobar_consolidation > 0.6652792096138 & concept_score_absence_of_lobar_consolidation > 0.8205206096172333,rule,-0.8004818578641464,0.2925170068027211,0.3641539760479689
concept_score_ground_glass_appearance <= 0.5574992299079895 & concept_score_crazy_paving_pattern <= 0.21913828700780869,rule,-0.6225864395143289,0.22448979591836735,0.25977162912158974
concept_score_ground_glass_appearance <= 0.5107902884483337 & concept_score_crazy_paving_pattern <= 0.32589563727378845,rule,-0.5007737562453121,0.45918367346938777,0.24955120828017552
concept_score_localized_or_diffuse_presentation > 0.6199959218502045 & concept_score_absence_of_lobar_consolidation <= 0.6652792096138,rule,0.5011280541185731,0.41156462585034015,0.2466136564565319
concept_score_bilateral_involvement > 0.5316263735294342 & concept_score_ground_glass_appearance > 0.5107902884483337,rule,0.4710026549858506,0.3401360544217687,0.22313972306896318
concept_score_bilateral_involvement <= 0.5248996317386627 & concept_score_absence_of_lobar_consolidation <= 0.6962397694587708,rule,-0.5543914830969449,0.14965986394557823,0.19777234449736353
concept_score_absence_of_lobar_consolidation <= 0.6120149791240692 & entropy <= 4.012446641921997,rule,0.3461987065449592,0.4965986394557823,0.17309534796552534
concept_score_crazy_paving_pattern > 0.2803814262151718,rule,0.34262020698084283,0.5986394557823129,0.1679434151066994
entropy > 3.837006688117981 & concept_score_absence_of_lobar_consolidation > 0.6120149791240692 & concept_score_crazy_paving_pattern > 0.25136660039424896,rule,0.4902234866269629,0.1326530612244898,0.166283507913616
concept_score_absence_of_lobar_consolidation > 0.6606996655464172,rule,-0.2663202230432986,0.47959183673469385,0.13304914474277482
concept_score_ground_glass_appearance <= 0.5393536984920502,rule,-0.23923327504230646,0.5340136054421769,0.11933954152832799
concept_score_ground_glass_appearance <= 0.512484610080719 & concept_score_crazy_paving_pattern <= 0.2776744067668915,rule,-0.23982419141063338,0.37755102040816324,0.11626063554662017
concept_score_absence_of_lobar_consolidation <= 0.7331579029560089,rule,0.23119588964954726,0.6020408163265306,0.11316505590049097
concept_score_crazy_paving_pattern > 0.26038309931755066 & concept_score_localized_or_diffuse_presentation <= 0.6156596839427948 & concept_score_absence_of_lobar_consolidation > 0.6089189350605011,rule,-0.5029000422013958,0.05102040816326531,0.11065781047491945
concept_score_crazy_paving_pattern <= 0.25136660039424896 & concept_score_absence_of_lobar_consolidation > 0.6120149791240692,rule,-0.23391270340778064,0.2619047619047619,0.10284465066913939
concept_score_ground_glass_appearance > 0.5575334429740906,rule,0.19174527552986134,0.46938775510204084,0.09569278273632063
concept_score_ground_glass_appearance <= 0.580720067024231,rule,-0.17266821668976223,0.5884353741496599,0.08497297232059478
concept_score_crazy_paving_pattern <= 0.32830823957920074,rule,-0.14804586245920198,0.5136054421768708,0.07399552167301042
concept_score_ground_glass_appearance > 0.580720067024231,rule,0.14879082962826348,0.41156462585034015,0.07322250319106006
concept_score_absence_of_lobar_consolidation <= 0.6606996655464172,rule,0.13675761390734614,0.5204081632653061,0.06832182460464811
concept_score_ground_glass_appearance > 0.5574992299079895,rule,0.13310137165196487,0.45918367346938777,0.06632857194542227
concept_score_ground_glass_appearance <= 0.5111531913280487,rule,-0.10511760502444954,0.4897959183673469,0.05254785618231074
concept_score_absence_of_lobar_consolidation > 0.7331579029560089,rule,-0.10540162186400223,0.3979591836734694,0.051591663019280594
concept_score_ground_glass_appearance > 0.5111531913280487,rule,0.06913722026407326,0.5102040816326531,0.03456141058803852
concept_score_ground_glass_appearance <= 0.5708949565887451,rule,-0.059737234967851674,0.5612244897959183,0.029643850445955994
concept_score_absence_of_lobar_consolidation > 0.6652792096138 & concept_score_absence_of_lobar_consolidation <= 0.8205206096172333 & entropy > 3.9191174507141113,rule,0.10520546709166237,0.06802721088435375,0.026489957267785944
concept_score_ground_glass_appearance <= 0.5806722939014435,rule,-0.04589076502876147,0.5782312925170068,0.022662784577089732
concept_score_crazy_paving_pattern > 0.32830823957920074,rule,0.0444687347822205,0.48639455782312924,0.022226134345739865
concept_score_ground_glass_appearance > 0.5806722939014435,rule,0.02130501024985032,0.4217687074829932,0.010521307661845215
concept_score_crazy_paving_pattern <= 0.2803814262151718,rule,-0.01987575682826273,0.4013605442176871,0.009742573297071714
concept_score_absence_of_lobar_consolidation > 0.6093150973320007,rule,-0.012336498731293097,0.5578231292517006,0.0061268632652205675
