classifier,feature_set,n_features,best_params,calibration_method,threshold_selection,threshold,uncalibrated_val_balanced_accuracy,calibrated_val_accuracy,calibrated_val_balanced_accuracy,calibrated_val_f1_weighted,calibrated_val_roc_auc,test_default_accuracy,test_default_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,confusion_matrix,model_path
logistic_regression,selected_9,9,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",sigmoid,validation_balanced_accuracy,0.63,0.7362068965517241,0.7542372881355932,0.7557471264367817,0.7524796844026903,0.8086206896551724,0.7093596059113301,0.7091836734693877,0.7339901477832512,0.7312925170068028,0.7320718075028421,0.759086491739553,"[[85, 20], [34, 64]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_logistic_regression_selected_9.pkl
logistic_regression,selected_18,18,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",sigmoid,validation_balanced_accuracy,0.6095572346547085,0.7183908045977012,0.7627118644067796,0.7637931034482759,0.7618917441224713,0.820977011494253,0.7142857142857143,0.7136054421768707,0.729064039408867,0.7268707482993197,0.727751936676886,0.754907677356657,"[[83, 22], [33, 65]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_logistic_regression_selected_18.pkl
gradient_boosting,selected_18,18,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",sigmoid,validation_balanced_accuracy,0.7180329428314176,0.7439655172413793,0.7542372881355932,0.7560344827586207,0.7516911700600581,0.8133620689655172,0.6896551724137931,0.689795918367347,0.729064039408867,0.7255102040816327,0.7257619802340706,0.7438775510204082,"[[87, 18], [37, 61]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_gradient_boosting_selected_18.pkl
gradient_boosting,selected_6,6,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",sigmoid,validation_balanced_accuracy,0.7000000000000001,0.7270114942528736,0.7711864406779662,0.7729885057471264,0.768815916952468,0.8113505747126437,0.6896551724137931,0.6894557823129251,0.7241379310344828,0.7210884353741497,0.7216424236259452,0.7311953352769679,"[[85, 20], [36, 62]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_gradient_boosting_selected_6.pkl
logistic_regression,all,36,"{""logistic__C"": 10.0, ""logistic__class_weight"": null}",sigmoid,validation_balanced_accuracy,0.48000000000000004,0.7270114942528736,0.7457627118644068,0.7454022988505747,0.7456164724119273,0.8209770114942528,0.7093596059113301,0.708843537414966,0.7192118226600985,0.7193877551020409,0.7192936195218973,0.7514091350826044,"[[75, 30], [27, 71]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_logistic_regression_all.pkl
logistic_regression,filtered,31,"{""logistic__C"": 10.0, ""logistic__class_weight"": null}",sigmoid,validation_balanced_accuracy,0.48155656894261,0.7270114942528736,0.7542372881355932,0.753735632183908,0.7539720574946864,0.82183908045977,0.7093596059113301,0.708843537414966,0.7192118226600985,0.7193877551020409,0.7192936195218973,0.7515063168124393,"[[75, 30], [27, 71]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_logistic_regression_filtered.pkl
logistic_regression,selected_6,6,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",sigmoid,validation_balanced_accuracy,0.63,0.7278735632183908,0.7711864406779662,0.7724137931034483,0.7701475034356391,0.8117816091954023,0.7044334975369458,0.704421768707483,0.7192118226600985,0.7166666666666667,0.7174228808553894,0.753935860058309,"[[83, 22], [35, 63]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_logistic_regression_selected_6.pkl
extra_trees,all,36,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 3, ""n_estimators"": 300}",sigmoid,validation_balanced_accuracy,0.60453203861202,0.7186781609195403,0.7627118644067796,0.7629310344827587,0.7627118644067796,0.8155172413793104,0.6798029556650246,0.680952380952381,0.7142857142857143,0.7136054421768707,0.7141606691305193,0.7472303206997084,"[[77, 28], [30, 68]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_extra_trees_all.pkl
svm_rbf,filtered,31,"{""svc__C"": 3.0, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",sigmoid,validation_balanced_accuracy,0.63,0.7264367816091954,0.7542372881355932,0.7551724137931034,0.7536184166401437,0.7974137931034483,0.7044334975369458,0.7061224489795919,0.7142857142857143,0.713265306122449,0.7139797507788163,0.7348882410106901,"[[78, 27], [31, 67]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_svm_rbf_filtered.pkl
extra_trees,selected_6,6,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",sigmoid,validation_balanced_accuracy,0.573182537638799,0.7442528735632183,0.7542372881355932,0.7540229885057472,0.7541843030018819,0.8096264367816092,0.6798029556650246,0.682312925170068,0.7093596059113301,0.7095238095238096,0.7094442728384551,0.7483479105928086,"[[74, 31], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_extra_trees_selected_6.pkl
