feature,feature_type,zero_fraction,mutual_info_score,rank,selected
med_task_prob_covid,med_diagnosis_probability,0.0,0.4738922870317974,1,True
med_neural_prob_covid,med_diagnosis_probability,0.0,0.46775300279985954,2,True
concept_score_absence_of_lobar_consolidation,concept_score,0.0,0.45947725330086686,3,True
concept_score_ground_glass_appearance,concept_score,0.0,0.45840821333378545,4,True
concept_score_crazy_paving_pattern,concept_score,0.0,0.4410104157331147,5,True
concept_score_bilateral_involvement,concept_score,0.0,0.2946028055742238,6,True
concept_score_localized_or_diffuse_presentation,concept_score,0.0,0.06639947172753335,7,True
stat_entropy,statistical,0.0,0.04372222586779628,8,True
stat_shannon_entropy,statistical,0.0,0.04372222586779628,9,True
concept_score_multilobar_distribution,concept_score,0.0,0.04076947877546089,10,True
stat_coef_of_var,statistical,0.0,0.03913077677836729,11,True
stat_mean_abs_dev,statistical,0.0,0.03900323780277293,12,True
stat_signal_to_noise,statistical,0.0,0.0387776576752481,13,True
stat_geometric_mean,statistical,0.0,0.03777799998488529,14,True
stat_iqr,statistical,0.0,0.03634986091696857,15,True
stat_percentile_75,statistical,0.0,0.03634986091696857,16,True
stat_std_dev,statistical,0.0,0.03519998287249737,17,True
stat_std_error_mean,statistical,0.0,0.03519998287249737,18,True
stat_contrast,statistical,0.0,0.03506198429699903,19,False
stat_variance,statistical,0.0,0.03506198429699903,20,False
stat_harmonic_mean,statistical,0.0,0.034525997498318084,21,False
stat_root_mean_square,statistical,0.0,0.030404413445032974,22,False
stat_energy,statistical,0.0,0.030370496744449582,23,False
concept_score_peripheral_ground_glass_opacities,concept_score,0.0,0.027370068287658533,24,False
stat_percentile_50,statistical,0.5021367521367521,0.022472996283214863,25,False
stat_median,statistical,0.5021367521367521,0.0205701696254863,26,False
stat_mean,statistical,0.0,0.009309153842560258,27,False
stat_max_value,statistical,0.0,0.007362016628965851,28,False
stat_range,statistical,0.0,0.007362016628965851,29,False
stat_autocorrelation,statistical,0.0,0.007230105550128041,30,False
stat_median_abs_dev,statistical,0.5021367521367521,0.006597438750417517,31,False
stat_min_value,statistical,1.0,0.0061738344317885385,32,False
stat_kurtosis,statistical,0.0,0.0012608828088067625,33,False
concept_score_increased_density_in_the_lung,concept_score,0.0,0.0,34,False
stat_percentile_25,statistical,1.0,0.0,35,False
stat_skewness,statistical,0.0,0.0,36,False
